7254 東証2部 (株)ユニバンス（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-04-11","322","322","319","319","10700","319"
"2018-04-12","318","320","315","318","10900","318"
"2018-04-13","318","326","317","326","17400","326"
"2018-04-16","323","328","323","326","12200","326"
"2018-04-17","327","327","318","325","17500","325"
"2018-04-18","325","327","324","326","8300","326"
"2018-04-19","326","329","325","329","13200","329"
"2018-04-20","329","330","326","329","5900","329"
"2018-04-23","330","330","326","329","7000","329"
"2018-04-24","329","331","326","330","13500","330"
"2018-04-25","329","330","328","330","7500","330"
"2018-04-26","331","331","326","328","7300","328"
"2018-04-27","327","329","321","328","11300","328"
"2018-05-01","324","326","323","324","11200","324"
"2018-05-02","326","328","324","328","2600","328"
"2018-05-07","325","326","324","326","7100","326"
"2018-05-08","326","326","325","325","5400","325"
"2018-05-09","325","327","324","326","13600","326"
"2018-05-10","326","329","326","329","9900","329"
"2018-05-11","330","330","322","323","16400","323"
"2018-05-14","322","332","322","331","30500","331"
"2018-05-15","329","330","319","320","39300","320"
"2018-05-16","323","323","320","323","8500","323"
"2018-05-17","324","324","320","320","19100","320"
"2018-05-18","320","326","320","325","21200","325"
"2018-05-21","324","331","324","329","44400","329"
"2018-05-22","329","329","327","327","2500","327"
"2018-05-23","327","327","325","326","10400","326"
"2018-05-24","321","324","320","320","18100","320"
"2018-05-25","320","320","317","318","5400","318"
"2018-05-28","317","319","312","317","7000","317"
"2018-05-29","317","317","315","315","9200","315"
"2018-05-30","315","315","312","312","13300","312"
"2018-05-31","312","314","312","314","1700","314"
"2018-06-01","312","316","311","313","4200","313"
"2018-06-04","314","318","314","317","4500","317"
"2018-06-05","315","316","313","316","600","316"
"2018-06-06","318","318","314","317","4800","317"
"2018-06-07","318","320","315","319","7600","319"
"2018-06-08","316","319","315","316","1300","316"
"2018-06-11","315","317","314","315","6500","315"
"2018-06-12","316","318","313","318","6100","318"
"2018-06-13","318","319","316","316","3600","316"
"2018-06-14","317","319","317","318","5000","318"
"2018-06-15","321","323","317","322","12000","322"
"2018-06-18","322","322","321","321","4900","321"
"2018-06-19","322","322","314","318","9000","318"
"2018-06-20","316","316","310","315","14300","315"
"2018-06-21","315","315","313","313","500","313"
"2018-06-22","313","313","311","311","800","311"
"2018-06-25","311","314","309","310","6600","310"
"2018-06-26","305","309","305","309","7000","309"
"2018-06-27","311","311","310","310","2100","310"
"2018-06-28","302","306","302","305","14300","305"
"2018-06-29","305","312","302","306","4000","306"
"2018-07-02","303","314","303","307","7200","307"
"2018-07-03","308","308","301","301","3300","301"
"2018-07-04","301","302","293","293","24400","293"
"2018-07-05","291","291","284","285","20500","285"
"2018-07-06","277","294","275","286","59000","286"
"2018-07-09","289","298","289","290","8100","290"
"2018-07-10","298","298","295","296","2000","296"
"2018-07-11","296","298","293","295","3000","295"
"2018-07-12","297","298","296","297","4100","297"
"2018-07-13","299","300","298","300","8800","300"
"2018-07-17","302","302","299","299","7000","299"
"2018-07-18","302","315","300","309","57700","309"
"2018-07-19","310","332","309","317","178600","317"
"2018-07-20","322","324","309","310","41900","310"
"2018-07-23","311","316","310","310","10500","310"
"2018-07-24","309","319","309","317","13900","317"
"2018-07-25","317","317","312","313","8200","313"
"2018-07-26","315","318","312","318","10800","318"
"2018-07-27","318","318","312","314","18400","314"
"2018-07-30","316","316","312","312","3600","312"
"2018-07-31","309","313","306","308","16300","308"
"2018-08-01","306","306","288","302","45500","302"
"2018-08-02","302","305","299","299","8500","299"
"2018-08-03","299","303","299","299","36900","299"
"2018-08-06","299","303","299","300","1300","300"
"2018-08-07","299","302","296","302","6000","302"
"2018-08-08","300","305","300","303","3900","303"
"2018-08-09","303","305","303","303","3500","303"
"2018-08-10","332","337","312","317","314300","317"
"2018-08-13","315","317","305","309","29900","309"
"2018-08-14","310","316","307","316","18200","316"
"2018-08-15","316","318","313","314","13300","314"
"2018-08-16","314","314","309","312","14200","312"
"2018-08-17","318","318","310","313","12200","313"
"2018-08-20","313","313","310","310","4400","310"
"2018-08-21","309","309","305","305","7600","305"
"2018-08-22","305","310","303","309","8600","309"
"2018-08-23","309","315","307","315","11100","315"
"2018-08-24","314","314","311","311","15000","311"
"2018-08-27","315","315","309","312","10700","312"
"2018-08-28","315","318","314","316","20200","316"
"2018-08-29","315","325","315","321","22800","321"
"2018-08-30","322","327","315","325","32100","325"
"2018-08-31","322","326","321","325","6100","325"
"2018-09-03","322","322","318","319","7100","319"
"2018-09-04","319","325","317","320","9100","320"
"2018-09-05","319","319","314","318","6100","318"
"2018-09-06","314","320","314","319","12300","319"
"2018-09-07","319","320","313","315","17400","315"
"2018-09-10","315","317","315","315","2800","315"
"2018-09-11","317","317","314","315","3100","315"
"2018-09-12","313","315","312","313","22200","313"
"2018-09-13","313","316","313","316","4200","316"
"2018-09-14","314","322","314","321","10700","321"
"2018-09-18","322","325","319","325","16800","325"
"2018-09-19","326","327","320","327","21500","327"
"2018-09-20","328","331","323","323","29700","323"
"2018-09-21","324","328","324","325","13500","325"
"2018-09-25","327","327","324","326","6800","326"
"2018-09-26","325","327","321","327","19000","327"
"2018-09-27","338","373","333","336","353400","336"
"2018-09-28","340","342","324","331","132700","331"
"2018-10-01","328","336","325","331","31500","331"
"2018-10-02","329","332","328","329","13000","329"
"2018-10-03","330","334","330","331","5600","331"
"2018-10-04","330","331","328","328","7900","328"
"2018-10-05","330","330","326","327","16400","327"
"2018-10-09","329","329","322","324","11200","324"
"2018-10-10","323","327","323","327","5000","327"
"2018-10-11","320","320","312","314","27700","314"
"2018-10-12","307","320","307","320","34400","320"
"2018-10-15","320","320","315","316","8700","316"
"2018-10-16","317","319","316","319","6500","319"
"2018-10-17","321","324","321","324","8200","324"
"2018-10-18","326","338","324","330","37300","330"
"2018-10-19","314","334","314","330","68700","330"
"2018-10-22","332","348","329","340","91200","340"
"2018-10-23","334","341","332","335","21500","335"
"2018-10-24","333","333","323","323","21100","323"
"2018-10-25","321","321","313","315","28500","315"
"2018-10-26","317","321","308","308","32000","308"
"2018-10-29","310","311","306","306","23100","306"
"2018-10-30","307","325","307","323","26200","323"
"2018-10-31","319","320","311","318","31700","318"
"2018-11-01","318","320","314","320","19300","320"
"2018-11-02","317","323","317","322","8100","322"
"2018-11-05","322","327","319","327","13000","327"
"2018-11-06","327","335","324","332","27300","332"
"2018-11-07","333","334","328","331","11800","331"
"2018-11-08","332","335","330","330","10400","330"
"2018-11-09","332","332","330","331","2800","331"
"2018-11-12","331","339","330","338","31500","338"
"2018-11-13","331","336","330","336","27400","336"
"2018-11-14","344","347","317","334","169800","334"
"2018-11-15","333","338","330","333","32500","333"
"2018-11-16","331","335","326","333","19400","333"
"2018-11-19","336","336","325","327","18400","327"
"2018-11-20","325","329","322","326","8900","326"
"2018-11-21","323","327","320","321","15400","321"
"2018-11-22","322","333","322","332","13700","332"
"2018-11-26","331","332","327","327","12700","327"
"2018-11-27","328","333","328","333","9000","333"
"2018-11-28","334","335","319","332","36000","332"
"2018-11-29","333","335","330","332","13400","332"
"2018-11-30","332","343","331","336","42500","336"
"2018-12-03","338","344","337","342","10700","342"
"2018-12-04","345","346","328","331","31100","331"
"2018-12-05","331","338","330","338","15200","338"
"2018-12-06","337","339","332","339","18500","339"
"2018-12-07","336","343","327","343","44700","343"
"2018-12-10","338","345","333","339","79900","339"
"2018-12-11","340","343","321","324","63200","324"
"2018-12-12","331","338","326","337","24500","337"
"2018-12-13","335","343","329","341","39600","341"
"2018-12-14","341","343","335","337","49800","337"
"2018-12-17","336","337","321","324","41100","324"
"2018-12-18","322","322","304","308","70900","308"
"2018-12-19","304","308","299","305","24400","305"
"2018-12-20","298","305","286","290","38600","290"
"2018-12-21","285","294","277","282","23800","282"
"2018-12-25","275","275","253","261","54000","261"
"2018-12-26","262","289","262","273","3900","273"
"2018-12-27","287","298","287","291","6900","291"
"2018-12-28","283","288","267","284","17400","284"
